,quyu,home_num,size,chaoxiang,jianzao,tags,city
343,1,2,90.8,0,2014.0,1,0
344,4,1,52.0,3,2006.0,1,0
345,0,3,106.0,0,1997.0,1,0
346,2,5,97.4,0,2017.0,1,0
347,0,3,112.6,3,2000.0,1,0
348,4,4,128.7,0,2019.0,1,0
349,0,4,101.0,0,1998.0,1,0
350,0,2,103.0,0,2009.0,1,0
351,0,3,129.3,0,2000.0,0,0
352,2,3,88.9,1,2000.0,1,0
353,1,4,135.1,1,2000.0,1,0
354,2,4,96.7,0,2017.0,1,0
355,2,3,90.4,5,2015.0,1,0
356,0,4,162.3,0,2007.0,1,0
357,0,2,48.8,0,1996.0,1,0
358,1,3,99.7,0,2002.0,1,0
359,2,4,97.5,0,2016.0,1,0
360,0,4,153.3,0,2006.0,1,0
361,0,3,79.9,0,2002.0,1,0
362,1,3,83.7,0,2018.0,1,0
363,6,4,127.8,0,2015.0,0,0
364,0,4,134.6,0,2008.0,1,0
365,0,4,100.0,0,1993.0,1,0
366,0,2,47.6,7,2010.0,1,0
367,0,2,56.0,8,2006.0,1,0
368,0,4,151.3,0,2011.0,1,0
369,0,3,104.1,0,2003.0,1,0
370,0,3,135.1,0,2007.0,0,0
371,0,3,135.5,1,2007.0,0,0
372,1,3,114.6,0,2009.0,1,0
373,0,2,68.7,0,2000.0,0,0
374,0,2,98.4,1,2013.0,1,0
375,4,3,108.8,0,2000.0,1,0
376,1,3,116.4,6,2008.0,1,0
377,0,1,51.1,1,2008.0,1,0
378,0,3,68.1,0,1984.0,1,0
379,1,1,66.8,5,2009.0,1,0
380,0,3,153.7,0,2010.0,1,0
381,1,2,84.7,1,2011.0,1,0
382,2,4,96.6,0,2015.0,1,0
383,0,3,130.8,6,2005.0,0,0
384,1,1,45.1,1,2000.0,1,0
385,0,6,172.3,0,2008.0,1,0
386,0,2,50.1,0,1983.0,1,0
387,2,3,88.2,1,2000.0,1,0
388,0,1,40.0,1,1988.0,1,0
389,0,1,41.6,0,1987.0,1,0
390,1,3,113.0,0,1996.0,1,0
391,1,3,104.3,0,2016.0,1,0
392,1,2,64.3,0,1990.0,1,0
393,4,3,113.9,0,2007.0,1,0
394,4,2,81.0,0,2000.0,1,0
395,2,3,88.1,0,2012.0,0,0
396,2,4,86.3,1,2010.0,0,0
397,1,2,50.0,0,2000.0,1,0
398,1,3,52.2,2,2006.0,1,0
399,0,5,185.3,0,1992.0,1,0
400,2,3,90.0,1,2015.0,1,0
