标题,总价（万）,单价,小区,区域,房间数,大小,朝向,建造时间,标签
电梯房 中交和美新城(公寓住宅) 满二 104平 看房方便,500.0,47688,中交和美新城(公寓住宅),集美,2,104.9,南,2016,"['南', '满二年', '近地铁', '车位充足']"
集美新城！外国语 ！位置安静视野宽阔！业主自住装精装！,539.0,56624,中交和美新城(公寓住宅),集美,4,95.2,南北,2020,"['南北', '满二年', '近地铁', '车位充足']"
急售降价50万，故宫小，单价5.6万，电梯到三楼,428.0,57948,食品饮料厂宿舍,思明,2,73.9,南北,1993,"['南北', '满二年', '近地铁']"
市中心 实验 玉滨城二期 电梯大三房 精装修 业主急售,1328.0,110547,玉滨城(二期),思明,3,120.1,南北,2000,"['南北', '满五年', '近地铁']"
槟榔西里，小户型，位置好校门口，南北通透,339.0,66759,槟榔西里单号区,思明,1,50.8,南北,1987,"['南北', '满五年', '近地铁']"
文灶地铁旁 城市花园C栋 电梯高层 正规4房2卫 业主诚售,688.0,58950,城市花园,思明,4,116.7,东北,1998,"['东北', '满五年', '近地铁']"
必看好房万象城对面封闭小区（大洲城市花园）高层南北四房急嫁,928.0,68828,大洲城市花园,思明,4,134.8,南北,2003,"['南北', '满五年', '近地铁', '车位充足']"
莲前西路 源昌君悦山 后排拎包入住 户型方正,738.0,75430,源昌君悦山,思明,2,97.8,南,2013,"['南', '满五年', '近地铁', '车位充足']"
槟榔花园二房，精装修拎包入住,508.0,69352,槟榔花园,思明,2,73.3,南北,1991,"['南北', '满二年', '近地铁']"
低总价正规3房 南北向 安静 临东渡二小 东渡六中 采光足,397.0,47602,新丰家园,湖里,3,83.4,南北,2005,"['南北', '满五年', '近地铁']"
就这单价 你确定不心动吗 价格还可以谈 还是高层 国贸天悦,393.09,35255,国贸天悦(一期),集美,3,111.5,南北,2019,"['南北', '满二年', '近地铁', '车位充足']"
106平 3室2厅 中孚花园 精装修 房东急置换 诚意买房,498.0,46827,中孚花园,湖里,3,106.4,南北,1997,"['南北', '满二年', '近地铁']"
南北通透 1室0厅 企业力荐好房诚意出售,426.0,82864,名汇广场,思明,1,51.4,南北,2008,"['南北', '满五年', '近地铁']"
电台山 2室1厅 南北,399.0,68159,电台山小区,思明,2,58.5,南北,1997,"['南北', '近地铁']"
高档小区 海峡国际天璟 豪装三房 大客厅 五星物业 带会所,936.0,64180,海峡国际天璟,思明,3,145.8,南北,2018,"['南北', '满二年', '近地铁', '绿化率高']"
故宫小区 电梯高层 户型方正 禾祥西路 边套户型 户型佳,499.0,66730,故宫小区,思明,2,74.8,西南,1992,"['西南', '满五年', '近地铁']"
蜂巢山路 带小区 停车方便 三房 南北通透 楼层佳 看房有锁,365.0,58626,蜂巢山路小区,思明,3,62.3,南北,1990,"['南北', '满五年', '近地铁']"
三居室 邻近地铁口 中间楼层 南北通透 华昌 湖里中学,345.0,45485,悦华公寓,湖里,3,75.9,南,1997,"['南', '满五年', '近地铁']"
黄斤楼层，采光好，sm永升芙蓉苑，换房急售，闽南古镇翔鹭,275.0,50293,翔鹭花城(二期),湖里,2,54.7,东南,2006,"['东南', '满五年', '近地铁']"
新上 莲花地铁旁 12年高端小区 高层朝南 满五 全明户型,539.0,80556,信和上筑,思明,2,66.9,南北,2012,"['南北', '满五年', '近地铁']"
临首付 文灶地铁口 外服小 封闭式花园小区 银龙广场大四房,676.0,52000,银龙广场,思明,4,130,南北,2004,"['南北', '满五年', '近地铁']"
禹洲世纪海湾 大阳台 2室2厅 看山,670.0,70283,禹洲世纪海湾,思明,2,95.3,北,2005,"['北', '有电梯', '近地铁']"
必看好房！禾祥东万象城 电梯 精装全明 朝南 3房2卫,678.0,66884,凯旋广场,思明,3,101.4,南北,1999,"['南北', '满五年', '近地铁', '车位充足']"
滨北市府旁 地铁口 超高层高品质 海景 精装修3房 超大阳台,748.0,70607,海湾新城,思明,3,105.9,西,2005,"['西', '满五年', '近地铁']"
莲花正规2房！中层！南北通透全明！校门口！近地铁！五村龙山,399.0,56198,龙翔里,思明,2,71,南北,2000,"['南北', '满五年', '近地铁', '车位充足']"
松柏地铁口 电梯房 正规大三房 朝南大阳台,728.0,60870,中关委大厦,思明,3,119.6,南,2007,"['南', '近地铁', '车位充足']"
海峡国际天璟 东西南北通透四面采光 双阳台 诚心出售,1110.0,65821,海峡国际天璟,思明,4,168.6,南北,2018,"['南北', '满二年', '近地铁', '绿化率高']"
满五年 西南向 二室一厅 高端装修 会展中心,550.0,60520,明发海景苑,思明,2,90.9,西南,2004,"['西南', '有电梯', '配套成熟']"
近地铁 置换福音 中交和美新城 边套大三房 南北通透 视野好,500.0,46927,中交和美新城(公寓住宅),集美,3,106.6,南北,2019,"['南北', '满二年', '近地铁', '车位充足']"
西南向 三室二厅 简单装修 杏北,596.0,53362,中交和美新城(公寓住宅),集美,3,111.7,西南,2018,"['西南', '有电梯', '近地铁', '车位充足']"
满二 电梯房 中交和美新城(公寓住宅) 2室2厅 楼层好 视,399.0,49634,中交和美新城(公寓住宅),集美,2,80.4,南北,2015,"['南北', '满二年', '近地铁', '车位充足']"
地铁口南山路03年社区3房 双阳台朝南全明格局,539.0,50850,半山豪庭,湖里,3,106,南北,2003,"['南北', '满五年', '近地铁']"
嘉园路，芙蓉苑，72平南北两房，满五年唯.一，户型格局方正,310.0,42943,芙蓉苑,湖里,2,72.2,南,2000,"['南', '满五年', '近地铁']"
莲花鹭江新城一期二房二厅 中装全套 业主诚意出售,618.0,78596,鹭江新城(一期),思明,2,78.6,南,2002,"['南', '满五年', '近地铁', '车位充足']"
精装修 泰裕新城 3室2厅 满五 房东急置换 诚意出售,519.0,46686,泰裕新城,湖里,3,111.2,南北,2002,"['南北', '满五年', '近地铁']"
南北通透 2室2厅 企业力荐好房诚意出售，降价房源,385.0,48059,翔鹭花城三期,湖里,2,80.1,南北,2008,"['南北', '满五年', '近地铁']"
急卖！翔鹭花城 高层电梯 精装大两房 满五 前后中庭位置,416.0,50813,翔鹭花城三期,湖里,2,81.9,南,2009,"['南', '满二年', '近地铁']"
三面采光 以领街城市人居的匠造标准，为佳者打造高 定生活极作,756.0,59849,凯旋广场,思明,4,126.3,南北,1997,"['南北', '满五年', '近地铁', '车位充足']"
降价再降价 东渡 金鼎巷 三面采光 全明三房 随时看房,330.0,42308,上苑山庄,湖里,3,78,南北,1992,"['南北', '满五年', '近地铁']"
东渡海上世界旁 双狮南里 地铁口 性价比,310.0,50065,双狮南里,湖里,2,61.9,南北,1993,"['南北', '满二年', '近地铁']"
滨北世纪海湾超高层大3房 带超大阳台 明厨明卫视野开阔地铁口,829.0,65784,海湾新城,思明,3,126,西北,2005,"['西北', '满二年', '近地铁']"
上苑山庄 简单装修 满二 南北通透 采光好 周边商圈成熟,485.0,50882,上苑山庄,湖里,3,95.3,南北,1992,"['南北', '满二年', '近地铁']"
文园路地铁口，一中后门 坑内路 看山二房,458.0,68862,坑内路3-36号小区,思明,2,66.5,东西,1996,"['东西', '满五年', '近地铁']"
满五 正南 2室2厅 精装修,299.0,53642,永同昌假日国际公寓,湖里,2,55.7,南,2006,"['南', '唯一住房', '近地铁']"
莲前西路卧龙晓城电梯框架大三房南北通透 全明户型,750.0,59900,卧龙晓城,思明,3,125.2,南北,2003,"['南北', '满五年', '近地铁']"
实小就在家门口 一中双十 电梯精装大3房 全明朝南 地铁口,1300.0,94326,玉滨城(一期),思明,3,137.8,东南,1998,"['东南', '满二年', '近地铁']"
会展 环岛路 海峡国际社区 精装大一房 高层朝南户型,798.0,85992,海峡国际社区(二期),思明,1,92.8,南,2009,"['南', '满二年', '近地铁', '绿化率高']"
04年框架 南北通透 湖里大道 地铁口附近 有赠送露台无公摊,375.0,49623,奔马馨园,湖里,3,75.6,南北,2004,"['南北', '满二年', '近地铁']"
湖里 金鸡亭 2房2厅1卫1阳,339.0,44256,金鸡亭花园小区,思明,2,76.6,南北,1996,"['南北', '满五年', '近地铁']"
同馨小筑 路大同2房南北通透 开禾思北好地段,558.0,64087,同馨小筑,思明,3,87.1,南北,1990,"['南北', '满二年', '近地铁', '车位充足']"
高层看海景高林近地铁口三房全明户型三面彩光无遮挡,366.0,51485,高林居住区一里,湖里,3,71.1,东南,2009,"['东南', '满五年', '近地铁', '绿化率高']"
S.M商圈 地铁口 05年框架大两房 南北全明 轻松做三房,400.0,46512,嘉景公寓,湖里,2,86,南,2000,"['南', '近地铁']"
火炬园双地铁口 龙腾花园二期 精装两房 三面采光 全明户型,368.0,44742,龙腾花园二期,湖里,2,82.3,南,2000,"['南', '近地铁']"
华昌 附近悦华公寓3房一梯两户全明格局,368.0,44391,悦华公寓,湖里,3,82.9,东南,2002,"['东南', '满五年', '近地铁']"
思北 嘉美花园 三房 南北通透 四面采光,680.0,62911,嘉美花园,思明,3,108.1,南北,1990,"['南北', '满二年', '近地铁']"
五中 卧龙晓城 2房2卫 可改3房2卫 售650万,638.0,66975,卧龙晓城,思明,2,95.3,东南,2003,"['东南', '满五年', '近地铁']"
已有客户在谈！找我谈价有惊喜，业主关系很熟！装修80万,646.0,56677,中交和美新城(公寓住宅),集美,4,114,东南,2015,"['东南', '有电梯', '近地铁', '车位充足']"
海山路东南北3房年限新采光通风好,420.0,45519,海山路55-59号小区,湖里,3,92.3,南北,2000,"['南北', '近地铁']"
中山公园 地铁口 美仁宫大厦 电梯高层 公园小 壹中 双拾,525.0,77928,美仁宫大厦公寓,思明,2,67.4,西北,1999,"['西北', '满二年', '近地铁', '车位充足']"
满五年 南北向 三室二厅 简单装修 金尚,418.0,44304,金山小区,湖里,3,94.4,南北,2002,"['南北', '近地铁']"
诚意出售 3室2厅 136平 实小 地铁口德盛大厦,1358.0,99444,德盛大厦,思明,3,136.6,南北,1994,"['南北', '满二年', '近地铁', '车位充足']"
东海山庄 南北通透 带电梯 低价3房,578.0,59307,东海山庄,湖里,3,97.5,东南,2009,"['东南', '满五年', '近地铁', '车位充足']"
金尚 太微花园 电梯精装2加1房 全明户型 南北通透,398.0,45622,太微花园,湖里,3,87.2,南北,2002,"['南北', '满五年', '近地铁']"
莲花 莲花中学 新金花园 120平大3房2厅2卫 南北通透！,580.0,47780,新金花园,思明,3,121.4,南北,1998,"['南北', '满二年', '近地铁', '车位充足']"
莲花 精装3房 二实验 拎包入住 采光好 格局好,996.0,86957,盈翠嘉园,思明,3,114.5,南北,2004,"['南北', '满二年', '近地铁', '车位充足']"
莲花 电梯两房 空户莲龙小 直降16W!房东诚售,329.0,62382,莲花天伦花园,思明,2,52.7,南北,1998,"['南北', '有电梯', '近地铁']"
2室1厅 豪华装修 企业力荐好房诚意出售,338.0,46757,禹洲新村,湖里,2,72.3,东,1997,"['东', '满二年', '近地铁']"
满五省税 首付90万 刚需三房门槛 含泪出手,335.0,37909,中航城国际社区(C区北区),集美,3,88.4,南北,2014,"['南北', '满五年', '近地铁']"
诚意出售 单价低买玉滨城一期 高层精装4房2厅 采光无遮挡,1260.0,91437,玉滨城(一期),思明,4,137.8,南北,2000,"['南北', '满二年', '近地铁']"
莲花大厦朝南看公园精装三房，十年朋友老业主急售看中我帮您谈价,820.0,63665,莲花大厦,思明,3,128.8,西南,2005,"['西南', '满二年', '近地铁', '车位充足']"
思明莲花五村 禾丰新景 3房2厅2卫1阳,680.0,95843,禾丰新景,思明,3,71,南北,2012,"['南北', '满五年', '近地铁']"
莲花香秀里 小区改造完毕 3楼 三面采光 南北全明 看房有锁,538.0,54251,香秀里1-56号小区,思明,3,99.2,南,1993,"['南', '满五年', '近地铁']"
上鹭江，电梯高层，东南朝向，公园边上,668.0,62471,菡菁大厦,思明,2,106.9,南北,1996,"['南北', '满五年', '近地铁', '车位充足']"
碧湖嘉园2室1厅1卫485万78.7平方米,485.0,61627,碧湖嘉园,湖里,2,78.7,东南,2006,"['东南', '满五年', '近地铁']"
莲前五中公交旁 好楼层 户型方正 明厨明卫 交通便利,390.0,59798,法院宿舍(莲前西路),思明,2,65.2,东,1999,"['东', '满五年', '近地铁', '车位充足']"
地铁口潮低！ 一梯两户南北通透 槟榔西里50.78平340万,340.0,67194,槟榔西里单号区,思明,2,50.6,西南,1990,"['西南', '满五年', '近地铁']"
满五年 高层采光好 一室一厅 清新装修 火车站,458.0,76207,建达花园,思明,1,60.1,西,2004,"['西', '有电梯', '近地铁', '车位充足']"
价格可议~高层海景3房，高档装修，南北通透，安静舒适！,795.0,58946,江山帝景(公寓住宅),思明,3,134.9,南北,2007,"['南北', '满五年', '配套成熟']"
95年框架房 单价5.5，有固定车位停车，省8万个税，,655.0,55373,龙凤园,思明,3,118.3,南北,1995,"['南北', '满五年', '近地铁']"
新景国际外滩 企业力荐好房诚意出售,1050.0,95507,新景国际外滩,湖里,4,109.9,东南,2014,"['东南', '近地铁', '车位充足']"
